sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,status
2.87244192,0.592676399,2.753371147,0.574460296,1.760438409,0.976378492,0.012987782,0.456801903,0.352289595,substantial
4.060454267,0.15822202,3.994734936,0.281618442,1.594203026,0.775500916,0.153692437,0.366797947,0.589783298,substantial
6.533289443,0.024756293,4.275393054,0.313053521,1.214454016,0.643630229,0.954252276,0.411810206,0.086374147,substantial
7.401577186,0.782621693,2.384040507,0.710140243,2.499985873,0.542480392,0.625455532,0.946113391,0.348484896,severe
2.931221069,0.133150661,2.369765003,0.38791286,0.496798867,0.048643839,0.28747596,0.494183635,0.908593083,substantial
5.806108416,0.518087197,1.539238327,0.997399638,1.289947672,0.856029289,0.184777259,0.046249727,0.65581391,severe
3.140407249,0.697828944,3.883105677,0.885346272,0.38815201,0.379586093,0.258150679,0.29931581,0.876691131,moderate
8.879081655,0.003042283,1.746339512,0.3563724,1.016264606,0.482561665,0.57772807,0.504292392,0.038832075,severe
9.491182033,0.030878689,1.525422664,0.477726931,0.720758782,0.055234812,0.31239101,0.613150986,0.935702142,severe
2.800315252,0.976463734,4.144699924,0.463415696,1.675083549,0.688255105,0.328522803,0.143646344,0.671561472,moderate
1.560725122,0.635302022,3.286241565,0.142773605,0.685019696,0.522075575,0.523806988,0.411729153,0.86225808,moderate
9.024319107,0.403091325,4.332070913,0.960732954,1.036397639,0.93158439,0.100010254,0.89071193,0.362946747,severe
9.206960501,0.769298459,3.640688297,0.002863751,1.656109003,0.983760678,0.84676327,0.583885692,0.07702731,substantial
9.660922582,0.731715822,4.686958705,0.402812116,1.458905726,0.542039969,0.423540114,0.78259183,0.61728406,substantial
2.071466475,0.259828536,3.484473216,0.790668907,1.987731454,0.181380883,0.519154845,0.432220535,0.685659342,moderate
8.716160128,0.621361083,0.926776958,0.744412973,0.045906514,0.522527072,0.614268762,0.563218005,0.716233158,severe
9.902576911,0.3341127,3.941621068,0.701439218,2.521398382,0.81663518,0.460022566,0.52060582,0.42335272,severe
9.31964169,0.024067592,2.934487622,0.550641002,1.562079806,0.567636829,0.679876998,0.310410601,0.626689476,severe
6.374722564,0.653912843,1.138107414,0.178202207,0.514598371,0.135293249,0.970510454,0.380349171,0.212066015,substantial
3.243815521,0.503263026,2.987065491,0.623783115,2.858838027,0.183888917,0.262129608,0.68494772,0.201103772,substantial
5.860636913,0.083296756,2.187418174,0.557244179,2.424933746,0.036253823,0.17361666,0.682669233,0.558082087,substantial
8.53189657,0.024442563,0.533573828,0.314479066,2.210228485,0.367777664,0.988895207,0.436540696,0.87981429,severe
1.459189527,0.831751102,3.178880975,0.521016234,2.828825193,0.695329672,0.382928993,0.05969334,0.213132623,moderate
8.645136482,0.368292202,0.902422684,0.504308345,1.957722637,0.112224831,0.610118433,0.742778377,0.660988957,severe
7.040229048,0.542118018,1.771548385,0.498020915,1.018013418,0.559351026,0.68537265,0.493483104,0.630050574,substantial
7.79559112,0.542303581,4.292721948,0.502622086,0.530829577,0.397692645,0.696677682,0.611408373,0.377439262,substantial
7.598753088,0.481733886,4.29536108,0.290421642,0.837878216,0.270365361,0.400315572,0.888233462,0.704755772,substantial
1.961898023,0.308300982,3.580927324,0.164531574,1.062264593,0.856915752,0.24074542,0.718690283,0.923831656,substantial
2.834089553,0.316556914,3.787509586,0.161045149,0.285059761,0.347333401,0.247465662,0.726875509,0.869790487,moderate
6.720555177,0.789762887,2.717126962,0.32387658,2.995185561,0.804818387,0.08638143,0.522627846,0.556065534,severe
1.418475245,0.661404631,3.123027618,0.764365696,1.132772295,0.288583686,0.914987968,0.464092677,0.21698806,moderate
6.429965597,0.378518741,2.328211808,0.169131892,2.711634479,0.394634871,0.310817128,0.453642173,0.357867739,substantial
9.043122081,0.413376043,1.336214863,0.552396559,2.773321893,0.582029357,0.5498001,0.390808842,0.023095836,severe
5.264929806,0.506746911,1.589792158,0.968784942,0.125445234,0.669524349,0.86382827,0.301457063,0.017807083,substantial
8.653905446,0.019493329,1.182788364,0.501058492,0.201553463,0.78505723,0.616320538,0.171078279,0.622284948,severe
5.771924082,0.638813224,2.096078327,0.331799195,2.377991953,0.840412711,0.514204563,0.342612828,0.600397263,substantial
8.233937342,0.897064534,0.526960865,0.191354783,2.735258742,0.028512451,0.849707874,0.870776286,0.431603836,substantial
9.96872188,0.767721029,2.62928672,0.772439031,0.864742388,0.646669628,0.045746302,0.942530793,0.02286638,critical
4.776710242,0.276926334,1.970489094,0.042161683,2.906396465,0.280345091,0.078481097,0.872958598,0.270121941,substantial
1.411081636,0.64308593,1.399047481,0.637827642,2.710042379,0.947310446,0.417209042,0.186249034,0.366715145,substantial
0.086086131,0.069794187,4.438343608,0.092608242,2.719283909,0.41799461,0.458385085,0.034213203,0.242046097,low
7.308770904,0.518125977,4.716304659,0.874933293,1.4215543,0.981037203,0.18259473,0.314093275,0.823342789,substantial
6.801288063,0.447527358,2.05650822,0.061011646,0.942497266,0.308929805,0.998982006,0.89029136,0.475593883,substantial
4.695178241,0.792359946,0.61757939,0.660159337,0.670362142,0.955738929,0.214679148,0.234878393,0.474625582,substantial
0.80267258,0.321303064,0.581732964,0.833556038,2.550341871,0.860134013,0.237481593,0.255261982,0.273660129,substantial
8.185176216,0.953976948,1.096899393,0.277179196,0.315328547,0.556085278,0.343830149,0.661964978,0.594486769,severe
4.177443237,0.122510031,2.566842769,0.237086285,0.519786092,0.356130432,0.747904279,0.838751212,0.152446631,substantial
2.328627405,0.340615074,0.869464342,0.740230731,0.051244722,0.667412342,0.347141925,0.885216362,0.612699927,substantial
1.034857025,0.725351149,1.318977054,0.557035873,2.388938541,0.488040002,0.666302244,0.227312478,0.187168717,moderate
1.638929754,0.838447858,3.105379063,0.561733323,0.595237298,0.418995629,0.080175885,0.646880651,0.93291018,moderate
2.341789047,0.274686642,1.561440528,0.950974844,2.317384746,0.104328735,0.345685698,0.793203024,0.609077925,substantial
2.485627077,0.244794572,4.37860985,0.222385994,2.405684861,0.991898503,0.338181719,0.573432885,0.75817993,substantial
6.818181662,0.546159872,0.130826904,0.205803209,1.047213862,0.90360202,0.938921784,0.482925378,0.134539051,severe
